Date,Open,High,Low,Close,Total Trade Quantity
2014-08-12,31.1,32.0,31.1,31.45,36731.0
2014-08-13,31.1,31.65,31.0,31.15,70570.0
2014-08-14,31.45,32.0,31.0,31.25,66894.0
2014-08-18,31.5,31.5,31.0,31.2,67060.0
2014-08-19,31.25,31.65,31.15,31.4,57041.0
2014-08-20,31.2,31.6,31.15,31.25,58752.0
2014-08-21,31.05,32.0,31.0,31.45,84371.0
2014-08-22,31.3,31.55,30.8,31.1,93547.0
2014-08-25,30.8,31.5,30.7,31.05,66118.0
2014-08-26,30.6,31.3,30.6,30.95,56390.0
2014-08-27,31.3,31.4,30.65,30.95,67729.0
2014-08-28,31.1,36.0,31.0,33.95,265657.0
2014-09-01,34.3,35.35,32.05,34.5,53094.0
2014-09-02,34.8,34.85,33.5,33.7,48441.0
2014-09-03,34.9,34.9,32.5,32.85,53483.0
2014-09-04,33.0,33.45,31.0,31.95,94219.0
2014-09-05,32.5,32.75,31.55,31.95,109866.0
2014-09-08,32.4,33.3,31.9,32.9,64430.0
2014-09-09,32.95,33.1,31.4,31.75,70164.0
2014-09-10,31.3,32.9,31.3,31.9,70705.0
2014-09-11,32.3,33.0,32.0,32.8,72036.0
2014-09-12,32.9,35.8,31.8,34.25,99920.0
2014-09-15,34.0,34.95,32.1,33.55,74885.0
2014-09-16,33.4,34.0,31.6,32.0,65744.0
2014-09-17,32.8,32.8,31.5,31.65,68791.0
2014-09-18,31.95,32.4,31.5,32.1,76940.0
2014-09-19,32.5,32.5,31.7,31.9,91832.0
2014-09-22,31.6,32.2,31.5,31.95,65455.0
2014-09-23,31.8,32.3,31.0,31.5,59780.0
2014-09-24,31.6,31.75,30.8,31.0,84153.0
2014-09-25,31.0,31.45,30.5,30.8,66380.0
2014-09-26,30.55,31.0,30.2,30.5,91300.0
2014-09-29,30.55,30.9,30.35,30.45,49883.0
2014-09-30,30.8,30.8,30.3,30.4,51176.0
2014-10-01,30.5,30.7,30.2,30.45,81100.0
2014-10-07,30.55,31.0,30.3,30.5,76015.0
2014-10-08,30.65,30.65,30.35,30.45,49421.0
2014-10-09,30.65,30.75,30.3,30.4,67789.0
2014-10-10,30.3,30.65,30.2,30.3,71402.0
2014-10-13,30.9,30.9,30.25,30.35,55492.0
2014-10-14,30.55,30.55,30.25,30.3,59124.0
2014-10-16,30.3,30.75,30.3,30.45,67661.0
2014-10-17,30.5,30.85,30.2,30.3,64711.0
2014-10-20,30.25,30.9,30.25,30.3,42145.0
2014-10-21,30.35,32.2,30.35,31.95,95544.0
2014-10-22,32.0,32.4,31.15,31.45,53604.0
2014-10-23,31.75,32.0,30.7,31.3,17929.0
2014-10-27,32.0,32.0,31.15,31.45,28589.0
2014-10-28,31.25,31.65,30.7,31.1,43319.0
2014-10-29,31.05,31.45,30.7,30.85,54443.0
2014-10-30,31.0,31.6,30.4,30.75,78925.0
2014-10-31,30.8,32.4,30.7,31.15,62519.0
2014-11-03,31.2,31.45,30.65,30.85,78511.0
2014-11-05,30.6,31.3,30.6,30.85,71721.0
2014-11-07,31.1,31.15,30.6,30.65,61069.0
2014-11-10,31.65,31.65,30.6,30.85,59018.0
2014-11-11,31.0,31.6,30.6,30.7,72810.0
2014-11-12,31.05,31.05,30.65,30.7,38757.0
2014-11-13,30.5,30.85,30.5,30.75,46513.0
2014-11-14,30.9,30.9,30.6,30.65,55098.0
2014-11-17,30.95,30.95,30.5,30.55,46090.0
2014-11-18,30.9,30.9,30.5,30.6,55038.0
2014-11-19,30.8,30.85,30.5,30.55,74178.0
2014-11-20,30.75,31.0,30.45,30.45,93194.0
2014-11-21,30.5,30.8,30.4,30.5,23397.0
2014-11-24,30.5,30.85,30.25,30.75,39716.0
